"employee_id","process_code","skill_level","efficiency_factor","active_flag","updated_at"
"E10001","PROC-010","INDEPENDENT","1.18","1","2026-03-22 09:10:00"
"E10001","PROC-020","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10001","PROC-030","ASSIST","1.13","1","2026-03-22 09:10:00"
"E10002","PROC-020","INDEPENDENT","1.1","1","2026-03-22 09:10:00"
"E10002","PROC-050","INDEPENDENT","0.89","1","2026-03-22 09:10:00"
"E10002","PROC-070","ASSIST","1.02","1","2026-03-22 09:10:00"
"E10003","PROC-070","INDEPENDENT","0.97","1","2026-03-22 09:10:00"
"E10003","PROC-080","INDEPENDENT","1.16","1","2026-03-22 09:10:00"
"E10003","PROC-100","ASSIST","1.2","1","2026-03-22 09:10:00"
"E10004","PROC-080","INDEPENDENT","1.18","1","2026-03-22 09:10:00"
"E10004","PROC-090","INDEPENDENT","1.1","1","2026-03-22 09:10:00"
"E10004","PROC-110","ASSIST","1.16","1","2026-03-22 09:10:00"
"E10005","PROC-010","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10005","PROC-060","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10005","PROC-030","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10005","PROC-110","ASSIST","0.89","1","2026-03-22 09:10:00"
"E10006","PROC-040","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10006","PROC-060","INDEPENDENT","0.98","1","2026-03-22 09:10:00"
"E10006","PROC-070","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10007","PROC-070","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10007","PROC-080","INDEPENDENT","0.89","1","2026-03-22 09:10:00"
"E10007","PROC-100","ASSIST","1.04","1","2026-03-22 09:10:00"
"E10008","PROC-090","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10008","PROC-100","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10008","PROC-110","ASSIST","1.13","1","2026-03-22 09:10:00"
"E10009","PROC-010","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10009","PROC-020","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10009","PROC-030","ASSIST","0.96","1","2026-03-22 09:10:00"
"E10010","PROC-020","INDEPENDENT","1.07","1","2026-03-22 09:10:00"
"E10010","PROC-050","INDEPENDENT","1.02","1","2026-03-22 09:10:00"
"E10010","PROC-070","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10010","PROC-110","ASSIST","1.02","1","2026-03-22 09:10:00"
"E10011","PROC-070","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10011","PROC-080","INDEPENDENT","0.94","1","2026-03-22 09:10:00"
"E10011","PROC-100","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10012","PROC-080","INDEPENDENT","0.99","1","2026-03-22 09:10:00"
"E10012","PROC-090","INDEPENDENT","0.92","1","2026-03-22 09:10:00"
"E10012","PROC-110","ASSIST","1.01","1","2026-03-22 09:10:00"
"E10013","PROC-010","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10013","PROC-060","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10013","PROC-030","ASSIST","0.91","1","2026-03-22 09:10:00"
"E10014","PROC-040","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10014","PROC-060","INDEPENDENT","1.11","1","2026-03-22 09:10:00"
"E10014","PROC-070","ASSIST","1","1","2026-03-22 09:10:00"
"E10015","PROC-070","INDEPENDENT","1.12","1","2026-03-22 09:10:00"
"E10015","PROC-080","INDEPENDENT","0.89","1","2026-03-22 09:10:00"
"E10015","PROC-100","ASSIST","1.14","1","2026-03-22 09:10:00"
"E10015","PROC-110","ASSIST","0.94","1","2026-03-22 09:10:00"
"E10016","PROC-090","INDEPENDENT","0.97","1","2026-03-22 09:10:00"
"E10016","PROC-100","INDEPENDENT","1.05","1","2026-03-22 09:10:00"
"E10016","PROC-110","ASSIST","1.16","1","2026-03-22 09:10:00"
"E10017","PROC-010","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10017","PROC-020","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10017","PROC-030","ASSIST","1.04","1","2026-03-22 09:10:00"
"E10018","PROC-020","INDEPENDENT","0.95","1","2026-03-22 09:10:00"
"E10018","PROC-050","INDEPENDENT","0.99","1","2026-03-22 09:10:00"
"E10018","PROC-070","ASSIST","0.96","1","2026-03-22 09:10:00"
"E10019","PROC-070","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10019","PROC-080","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10019","PROC-100","ASSIST","0.87","1","2026-03-22 09:10:00"
"E10020","PROC-080","INDEPENDENT","0.96","1","2026-03-22 09:10:00"
"E10020","PROC-090","INDEPENDENT","0.86","1","2026-03-22 09:10:00"
"E10020","PROC-110","ASSIST","0.94","1","2026-03-22 09:10:00"
"E10021","PROC-010","INDEPENDENT","1.03","1","2026-03-22 09:10:00"
"E10021","PROC-060","INDEPENDENT","0.98","1","2026-03-22 09:10:00"
"E10021","PROC-030","ASSIST","0.92","1","2026-03-22 09:10:00"
"E10022","PROC-040","INDEPENDENT","1.14","1","2026-03-22 09:10:00"
"E10022","PROC-060","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10022","PROC-070","ASSIST","1.06","1","2026-03-22 09:10:00"
"E10023","PROC-070","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10023","PROC-080","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10023","PROC-100","ASSIST","0.86","1","2026-03-22 09:10:00"
"E10024","PROC-090","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10024","PROC-100","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10024","PROC-110","ASSIST","0.95","1","2026-03-22 09:10:00"
"E10025","PROC-010","INDEPENDENT","1.05","1","2026-03-22 09:10:00"
"E10025","PROC-020","INDEPENDENT","1.12","1","2026-03-22 09:10:00"
"E10025","PROC-030","ASSIST","1.1","1","2026-03-22 09:10:00"
"E10025","PROC-110","ASSIST","1.01","1","2026-03-22 09:10:00"
"E10026","PROC-020","INDEPENDENT","1.09","1","2026-03-22 09:10:00"
"E10026","PROC-050","INDEPENDENT","0.92","1","2026-03-22 09:10:00"
"E10026","PROC-070","ASSIST","1.17","1","2026-03-22 09:10:00"
"E10027","PROC-070","INDEPENDENT","1.19","1","2026-03-22 09:10:00"
"E10027","PROC-080","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10027","PROC-100","ASSIST","1.06","1","2026-03-22 09:10:00"
"E10028","PROC-080","INDEPENDENT","0.86","1","2026-03-22 09:10:00"
"E10028","PROC-090","INDEPENDENT","0.86","1","2026-03-22 09:10:00"
"E10028","PROC-110","ASSIST","1.03","1","2026-03-22 09:10:00"
"E10029","PROC-010","INDEPENDENT","1.18","0","2026-03-22 09:10:00"
"E10029","PROC-060","INDEPENDENT","0.91","0","2026-03-22 09:10:00"
"E10029","PROC-030","ASSIST","0.88","0","2026-03-22 09:10:00"
"E10030","PROC-040","INDEPENDENT","1.08","1","2026-03-22 09:10:00"
"E10030","PROC-060","INDEPENDENT","1.03","1","2026-03-22 09:10:00"
"E10030","PROC-070","ASSIST","0.88","1","2026-03-22 09:10:00"
"E10030","PROC-110","ASSIST","0.92","1","2026-03-22 09:10:00"
"E10031","PROC-070","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10031","PROC-080","INDEPENDENT","0.95","1","2026-03-22 09:10:00"
"E10031","PROC-100","ASSIST","0.93","1","2026-03-22 09:10:00"
"E10032","PROC-090","INDEPENDENT","0.88","1","2026-03-22 09:10:00"
"E10032","PROC-100","INDEPENDENT","1.05","1","2026-03-22 09:10:00"
"E10032","PROC-110","ASSIST","0.95","1","2026-03-22 09:10:00"
"E10033","PROC-010","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10033","PROC-020","INDEPENDENT","1.08","1","2026-03-22 09:10:00"
"E10033","PROC-030","ASSIST","0.92","1","2026-03-22 09:10:00"
"E10034","PROC-020","INDEPENDENT","1.08","1","2026-03-22 09:10:00"
"E10034","PROC-050","INDEPENDENT","1.15","1","2026-03-22 09:10:00"
"E10034","PROC-070","ASSIST","0.97","1","2026-03-22 09:10:00"
"E10035","PROC-070","INDEPENDENT","0.99","1","2026-03-22 09:10:00"
"E10035","PROC-080","INDEPENDENT","0.94","1","2026-03-22 09:10:00"
"E10035","PROC-100","ASSIST","1.1","1","2026-03-22 09:10:00"
"E10035","PROC-110","ASSIST","1.07","1","2026-03-22 09:10:00"
"E10036","PROC-080","INDEPENDENT","1.06","1","2026-03-22 09:10:00"
"E10036","PROC-090","INDEPENDENT","0.88","1","2026-03-22 09:10:00"
"E10036","PROC-110","ASSIST","0.93","1","2026-03-22 09:10:00"
"E10037","PROC-010","INDEPENDENT","1.15","0","2026-03-22 09:10:00"
"E10037","PROC-060","INDEPENDENT","1","0","2026-03-22 09:10:00"
"E10037","PROC-030","ASSIST","0.86","0","2026-03-22 09:10:00"
"E10038","PROC-040","INDEPENDENT","0.92","1","2026-03-22 09:10:00"
"E10038","PROC-060","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10038","PROC-070","ASSIST","0.97","1","2026-03-22 09:10:00"
"E10039","PROC-070","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10039","PROC-080","INDEPENDENT","0.96","1","2026-03-22 09:10:00"
"E10039","PROC-100","ASSIST","1.19","1","2026-03-22 09:10:00"
"E10040","PROC-090","INDEPENDENT","1","1","2026-03-22 09:10:00"
"E10040","PROC-100","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10040","PROC-110","ASSIST","0.95","1","2026-03-22 09:10:00"
"E10041","PROC-010","INDEPENDENT","1.02","1","2026-03-22 09:10:00"
"E10041","PROC-020","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10041","PROC-030","ASSIST","1.15","1","2026-03-22 09:10:00"
"E10042","PROC-020","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10042","PROC-050","INDEPENDENT","0.95","1","2026-03-22 09:10:00"
"E10042","PROC-070","ASSIST","1.04","1","2026-03-22 09:10:00"
"E10043","PROC-070","INDEPENDENT","1.08","1","2026-03-22 09:10:00"
"E10043","PROC-080","INDEPENDENT","1.16","1","2026-03-22 09:10:00"
"E10043","PROC-100","ASSIST","0.99","1","2026-03-22 09:10:00"
"E10044","PROC-080","INDEPENDENT","0.95","1","2026-03-22 09:10:00"
"E10044","PROC-090","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10044","PROC-110","ASSIST","1.12","1","2026-03-22 09:10:00"
"E10045","PROC-010","INDEPENDENT","0.99","1","2026-03-22 09:10:00"
"E10045","PROC-060","INDEPENDENT","1.11","1","2026-03-22 09:10:00"
"E10045","PROC-030","ASSIST","1.09","1","2026-03-22 09:10:00"
"E10045","PROC-110","ASSIST","1.07","1","2026-03-22 09:10:00"
"E10046","PROC-040","INDEPENDENT","0.94","1","2026-03-22 09:10:00"
"E10046","PROC-060","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10046","PROC-070","ASSIST","1.03","1","2026-03-22 09:10:00"
"E10047","PROC-070","INDEPENDENT","1.03","1","2026-03-22 09:10:00"
"E10047","PROC-080","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10047","PROC-100","ASSIST","0.95","1","2026-03-22 09:10:00"
"E10048","PROC-090","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10048","PROC-100","INDEPENDENT","1.13","1","2026-03-22 09:10:00"
"E10048","PROC-110","ASSIST","0.89","1","2026-03-22 09:10:00"
"E10049","PROC-010","INDEPENDENT","0.89","1","2026-03-22 09:10:00"
"E10049","PROC-020","INDEPENDENT","0.96","1","2026-03-22 09:10:00"
"E10049","PROC-030","ASSIST","1.1","1","2026-03-22 09:10:00"
"E10050","PROC-020","INDEPENDENT","0.99","1","2026-03-22 09:10:00"
"E10050","PROC-050","INDEPENDENT","1.18","1","2026-03-22 09:10:00"
"E10050","PROC-070","ASSIST","1.19","1","2026-03-22 09:10:00"
"E10050","PROC-110","ASSIST","0.93","1","2026-03-22 09:10:00"
"E10051","PROC-070","INDEPENDENT","0.9","1","2026-03-22 09:10:00"
"E10051","PROC-080","INDEPENDENT","0.98","1","2026-03-22 09:10:00"
"E10051","PROC-100","ASSIST","0.98","1","2026-03-22 09:10:00"
"E10052","PROC-080","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10052","PROC-090","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10052","PROC-110","ASSIST","0.89","1","2026-03-22 09:10:00"
"E10053","PROC-010","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10053","PROC-060","INDEPENDENT","0.88","1","2026-03-22 09:10:00"
"E10053","PROC-030","ASSIST","1.18","1","2026-03-22 09:10:00"
"E10054","PROC-040","INDEPENDENT","0.92","1","2026-03-22 09:10:00"
"E10054","PROC-060","INDEPENDENT","1.14","1","2026-03-22 09:10:00"
"E10054","PROC-070","ASSIST","1.05","1","2026-03-22 09:10:00"
"E10055","PROC-070","INDEPENDENT","0.91","1","2026-03-22 09:10:00"
"E10055","PROC-080","INDEPENDENT","0.94","1","2026-03-22 09:10:00"
"E10055","PROC-100","ASSIST","1.12","1","2026-03-22 09:10:00"
"E10055","PROC-110","ASSIST","0.91","1","2026-03-22 09:10:00"
"E10056","PROC-090","INDEPENDENT","1.08","1","2026-03-22 09:10:00"
"E10056","PROC-100","INDEPENDENT","1.04","1","2026-03-22 09:10:00"
"E10056","PROC-110","ASSIST","0.87","1","2026-03-22 09:10:00"
"E10057","PROC-010","INDEPENDENT","1.11","1","2026-03-22 09:10:00"
"E10057","PROC-020","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10057","PROC-030","ASSIST","1.04","1","2026-03-22 09:10:00"
"E10058","PROC-020","INDEPENDENT","1.1","0","2026-03-22 09:10:00"
"E10058","PROC-050","INDEPENDENT","0.92","0","2026-03-22 09:10:00"
"E10058","PROC-070","ASSIST","1.17","0","2026-03-22 09:10:00"
"E10059","PROC-070","INDEPENDENT","0.87","1","2026-03-22 09:10:00"
"E10059","PROC-080","INDEPENDENT","0.86","1","2026-03-22 09:10:00"
"E10059","PROC-100","ASSIST","0.91","1","2026-03-22 09:10:00"
"E10060","PROC-080","INDEPENDENT","0.93","1","2026-03-22 09:10:00"
"E10060","PROC-090","INDEPENDENT","1.17","1","2026-03-22 09:10:00"
"E10060","PROC-110","ASSIST","1.02","1","2026-03-22 09:10:00"
"E10061","PROC-010","INDEPENDENT","1.01","1","2026-03-22 09:10:00"
"E10061","PROC-060","INDEPENDENT","0.96","1","2026-03-22 09:10:00"
"E10061","PROC-030","ASSIST","1.2","1","2026-03-22 09:10:00"
"E10062","PROC-040","INDEPENDENT","1.07","1","2026-03-22 09:10:00"
"E10062","PROC-060","INDEPENDENT","0.86","1","2026-03-22 09:10:00"
"E10062","PROC-070","ASSIST","0.98","1","2026-03-22 09:10:00"
"E10063","PROC-070","INDEPENDENT","1.03","1","2026-03-22 09:10:00"
"E10063","PROC-080","INDEPENDENT","0.88","1","2026-03-22 09:10:00"
"E10063","PROC-100","ASSIST","0.9","1","2026-03-22 09:10:00"
